	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	Sulfur_id	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_11	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	11	11033	11248	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_12	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	12	11278	12183	-1	A		psin:CAK95_11110		psin:CAK95_11110 ()	TRUE	0.677	382	4.28E-116	MER0027582	S49A	MER0027582 - subfamily S49A unassigned non-peptidase homologues (Bradyrhizobium japonicum) [S49.UNA]#S49A#{peptidase unit: 39-293}~source NP_769174~	FALSE	0.635	320	1.09E-96	Peptidase family S49 [PF01343.21]; Serine dehydrogenase proteinase [PF01972.19]; Clp protease [PF00574.26]; Enoyl-CoA hydratase/isomerase [PF00378.23]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_13	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	13	12294	12389	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_14	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	14	12405	13196	-1	C		rhz:RHPLAN_25240		rhz:RHPLAN_25240 ()	FALSE	0.566	276	3.44E-80								Methyltransferase small domain [PF05175.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_15	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	15	13171	13401	-1	C		bic:LMTR13_07490		bic:LMTR13_07490 ()	FALSE	0.726	111	1.51E-26								Putative prokaryotic signal transducing protein [PF09413.13]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_16	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	16	13420	14409	-1	A		aol:S58_56060		aol:S58_56060 ()	TRUE	0.718	440	1.19E-135								Glycosyltransferase like family 2 [PF13641.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_17	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	17	14519	15526	1	A		bic:LMTR13_07485	K02523	bic:LMTR13_07485 (K02523) ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]	TRUE	0.795	548	3.87E-173								Polyprenyl synthetase [PF00348.20]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_18	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	18	15510	16424	-1	C		bbar:RHAL1_00666	K00919	bbar:RHAL1_00666 (K00919) ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	FALSE	0.547	300	9.01E-88								GHMP kinases C terminal [PF08544.16]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_19	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	19	16441	18267	-1	A		rhz:RHPLAN_25210		rhz:RHPLAN_25210 ()	TRUE	0.642	753	8.04E-239								"Tetratricopeptide repeat [PF13429.9]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]; TPR repeat [PF13414.9]; MalT-like TPR region [PF17874.4]; Tetratricopeptide repeat [PF13432.9]; Tetratricopeptide repeat [PF13428.9]; Tetratricopeptide repeat [PF14559.9]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_20	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	20	18452	20107	-1	A		buz:AYM40_07025	K00311	buz:AYM40_07025 (K00311) ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	TRUE	0.797	901	5.47E-291								"Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S [PF05187.16]; FAD binding domain [PF01494.22]; FAD binding domain [PF00890.27]; HI0933-like protein [PF03486.17]; FAD dependent oxidoreductase [PF01266.27]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; Flavin-binding monooxygenase-like [PF00743.22]; GMC oxidoreductase [PF00732.22]; Lycopene cyclase protein [PF05834.15]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_21	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	21	20247	20495	-1	D																Protein of unknown function (DUF3551) [PF12071.11]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_22	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	22	20618	21493	1	A		psin:CAK95_11145	K21929	psin:CAK95_11145 (K21929) udg; uracil-DNA glycosylase [EC:3.2.2.27]	TRUE	0.625	356	2.90E-107								Uracil DNA glycosylase superfamily [PF03167.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_23	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	23	21495	21932	-1	C		mci:Mesci_0763	K08978	mci:Mesci_0763 (K08978) TC.BAT1; bacterial/archaeal transporter family protein	FALSE	0.779	233	1.50E-67													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_24	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	24	21929	22297	-1	C		vgo:GJW-30_1_01576		vgo:GJW-30_1_01576 ()	FALSE	0.736	178	5.93E-49								Mannose-6-phosphate isomerase [PF01050.21]; AraC-like ligand binding domain [PF02311.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_25	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	25	22384	23706	-1	A		rhz:RHPLAN_25150	K06901	"rhz:RHPLAN_25150 (K06901) pbuG, azgA, ghxP, ghxQ, adeQ; adenine/guanine/hypoxanthine permease"	TRUE	0.748	662	1.84E-210								Permease family [PF00860.23]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_26	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	26	23853	25253	1	A		psin:CAK95_11160	K00425	psin:CAK95_11160 (K00425) cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	TRUE	0.719	669	2.78E-212								Cytochrome bd terminal oxidase subunit I [PF01654.20]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_27	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	27	25266	26267	1	A		anc:GBB76_00155	K00426	anc:GBB76_00155 (K00426) cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	TRUE	0.703	473	6.38E-147	MER0506880	M79	MER0506880 - family M79 unassigned peptidases (Pseudomonas sp. TKP) [M79.UPW]#M79#{peptidase unit: 172-287}~source YP_008934986~	FALSE	0.483	105	1.16E-22	Cytochrome bd terminal oxidase subunit II [PF02322.18]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_28	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	28	26292	27824	-1	A		rhz:RHPLAN_25120		rhz:RHPLAN_25120 ()	TRUE	0.505	471	5.27E-143								Dolichyl-phosphate-mannose-protein mannosyltransferase [PF13231.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_29	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	29	27896	28606	-1	A		rhz:RHPLAN_25110	K03470	rhz:RHPLAN_25110 (K03470) rnhB; ribonuclease HII [EC:3.1.26.4]	TRUE	0.754	359	2.76E-109								Ribonuclease HII [PF01351.21]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_30	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	30	28777	29742	-1	A		bcen:DM39_4101		bcen:DM39_4101 ()	TRUE	0.601	360	4.53E-108								"LysR substrate binding domain [PF03466.23]; Bacterial regulatory helix-turn-helix protein, lysR family [PF00126.30]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_31	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	31	29852	30850	1	C		vaa:AX767_17145		vaa:AX767_17145 ()	FALSE	0.485	289	1.34E-83								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_32	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	32	30904	31812	1	A		rhz:RHPLAN_60310	K00020	"rhz:RHPLAN_60310 (K00020) HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"	TRUE	0.676	394	1.89E-120								NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.18]; NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase [PF14833.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_33	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	33	31854	33002	-1	A		vgo:GJW-30_1_00874		vgo:GJW-30_1_00874 ()	TRUE	0.792	614	6.47E-195								Radical SAM superfamily [PF04055.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_34	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	34	33174	33737	-1	C		vgo:GJW-30_1_00834	K03638	vgo:GJW-30_1_00834 (K03638) moaB; molybdopterin adenylyltransferase [EC:2.7.7.75]	FALSE	0.818	315	3.33E-95								Probable molybdopterin binding domain [PF00994.27]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_35	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	35	33737	34639	-1	A		rhz:RHPLAN_25060	"K07054,K07054"	rhz:RHPLAN_25060 (K07054) K07054; uncharacterized protein	TRUE	0.712	428	3.02E-132								Putative neutral zinc metallopeptidase [PF04228.16]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_36	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	36	34876	36009	1	A		bic:LMTR13_07415	K13581	bic:LMTR13_07415 (K13581) ccrM; modification methylase [EC:2.1.1.72]	TRUE	0.775	595	1.38E-188								DNA methylase [PF01555.21]; Restriction Enzyme Adenine Methylase Associated [PF18755.4]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_37	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	37	36229	36777	1	C		rhz:RHPLAN_24860	K00759	"rhz:RHPLAN_24860 (K00759) APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"	FALSE	0.829	313	1.28E-94								Phosphoribosyl transferase domain [PF00156.30]; Phosphoribosyl synthetase-associated domain [PF14572.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_38	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	38	36907	38784	-1	A		svc:STVA_08550		svc:STVA_08550 ()	TRUE	0.685	837	1.95E-267								"Tripartite ATP-independent periplasmic transporter, DctM component [PF06808.15]; Domain of unknown function (DUF3394) [PF11874.11]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_39	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	39	38870	39817	-1	A		svc:STVA_08540	"K07080,K07080"	svc:STVA_08540 (K07080) K07080; uncharacterized protein	TRUE	0.738	448	1.18E-138								"NMT1-like family [PF16868.8]; NMT1/THI5 like [PF09084.14]; NMT1-like family [PF13379.9]; ABC transporter, phosphonate, periplasmic substrate-binding protein [PF12974.10]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_40	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	40	39957	40934	-1	A		bel:BE61_40620		bel:BE61_40620 ()	TRUE	0.644	412	5.02E-126								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_41	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	41	41056	42057	-1	A		rhz:RHPLAN_29590		rhz:RHPLAN_29590 ()	TRUE	0.645	410	3.43E-125								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_42	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	42	42118	43110	-1	A		rhz:RHPLAN_26020		rhz:RHPLAN_26020 ()	TRUE	0.633	400	5.71E-122								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_43	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	43	43275	43868	1	C		kmn:HW532_00185	K01673	"kmn:HW532_00185 (K01673) cynT, can; carbonic anhydrase [EC:4.2.1.1]"	FALSE	0.846	342	3.53E-104								Carbonic anhydrase [PF00484.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_44	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	44	44201	44404	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_45	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	45	44941	45396	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_46	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	46	45437	46210	1	C		rpt:Rpal_3791		rpt:Rpal_3791 ()	FALSE	0.461	206	5.16E-56													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_1	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	1	396	554	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_2	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	2	724	1527	1	C		kmn:HW532_13355		kmn:HW532_13355 ()	FALSE	0.516	241	7.80E-68								SNARE associated Golgi protein [PF09335.14]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_3	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	3	1554	2972	1	A		brn:D1F64_03150		brn:D1F64_03150 ()	TRUE	0.598	556	5.57E-173								"Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.25]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.30]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_4	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	4	3004	4473	1	A		rhz:RHPLAN_66420		rhz:RHPLAN_66420 ()	TRUE	0.685	636	1.65E-200								"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; GHKL domain [PF14501.9]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_5	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	5	4978	5274	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_6	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	6	5271	6008	-1	C		ssy:SLG_17100		ssy:SLG_17100 ()	FALSE	0.583	274	7.71E-80													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_7	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	7	5983	6483	-1	C		cov:EKO29_04495		cov:EKO29_04495 ()	FALSE	0.372	106	6.22E-23													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_8	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	8	6695	7165	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_9	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	9	7559	8359	-1	C		sphj:BSL82_06020		sphj:BSL82_06020 ()	FALSE	0.316	123	1.97E-27													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_10	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	10	8389	9741	-1	A		not:C7W88_04825		not:C7W88_04825 ()	TRUE	0.551	471	3.40E-144								"Phage terminase large subunit [PF04466.16]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_11	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	11	9738	10271	-1	C		sphp:LH20_17150		sphp:LH20_17150 ()	FALSE	0.376	89	4.72E-17													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_12	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	12	10268	10477	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_13	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	13	10693	10926	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_14	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	14	10923	11132	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_15	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	15	11580	13250	-1	C		lvs:LOKVESSMR4R_01553	"K06919,K06919"	lvs:LOKVESSMR4R_01553 (K06919) K06919; putative DNA primase/helicase	FALSE	0.403	302	1.64E-84								Family of unknown function (DUF5906) [PF19263.2]; Poxvirus D5 protein-like [PF03288.19]; D5 N terminal like [PF08706.14]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_16	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	16	13247	13612	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_17	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	17	13647	13973	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_18	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	18	14713	15972	-1	C		bja:blr6348		bja:blr6348 ()	FALSE	0.342	232	1.83E-62								Phage integrase family [PF00589.25]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_19	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	19	16421	16822	-1	C		vgo:GJW-30_1_02700		vgo:GJW-30_1_02700 ()	FALSE	0.657	174	2.33E-47								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_20	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	20	17080	18060	1	C		vgo:GJW-30_1_00448	K02051	vgo:GJW-30_1_00448 (K02051) ABC.SN.S; NitT/TauT family transport system substrate-binding protein	FALSE	0.463	254	1.36E-71								"NMT1-like family [PF13379.9]; NMT1/THI5 like [PF09084.14]; ABC transporter, phosphonate, periplasmic substrate-binding protein [PF12974.10]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_21	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	21	18200	19891	1	A		gbi:PG2T_10975	K01652	"gbi:PG2T_10975 (K01652) E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"	TRUE	0.507	530	1.69E-162								"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.21]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]; Thiamine pyrophosphate enzyme, central domain [PF00205.25]; Dehydrogenase E1 component [PF00676.23]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_22	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	22	20056	22671	-1	C		thim:KFB96_11340		thim:KFB96_11340 ()	FALSE	0.29	359	7.62E-100	MER0987469	S08A	MER0987469 - subfamily S8A unassigned peptidases (Thiocapsa marina) [S08.UPA]#S08A#{peptidase unit: 135-453}~source F9U997~	FALSE	0.447	259	3.35E-69	Subtilase family [PF00082.25]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_23	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	23	22968	23918	-1	C		bvv:BHK69_01800	K02051	bvv:BHK69_01800 (K02051) ABC.SN.S; NitT/TauT family transport system substrate-binding protein	FALSE	0.523	293	3.06E-85								"NMT1/THI5 like [PF09084.14]; NMT1-like family [PF13379.9]; NMT1-like family [PF16868.8]; ABC transporter, phosphonate, periplasmic substrate-binding protein [PF12974.10]; Tripartite tricarboxylate transporter family receptor [PF03401.17]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_24	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	24	24006	25292	-1	C		rhz:RHPLAN_49270		rhz:RHPLAN_49270 ()	FALSE	0.391	289	6.70E-82													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_25	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	25	25373	26761	-1	C		star:G3545_15890		star:G3545_15890 ()	FALSE	0.438	364	2.99E-107								Predicted membrane protein (DUF2142) [PF09913.12]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_26	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	26	26970	28376	1	C		rgi:RGI145_08985		rgi:RGI145_08985 ()	FALSE	0.314	214	1.13E-55													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1377347_27	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1377347	27	28373	29242	1	A		star:G3545_15895		star:G3545_15895 ()	TRUE	0.7	366	5.41E-111								Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08242.15]; Methionine biosynthesis protein MetW [PF07021.15]; Mycolic acid cyclopropane synthetase [PF02353.23]					0
